"Ársfjórðungur";"Sveitarfélag";"Kyn og ríkisfang";Mannfjöldi eftir sveitarfélögum, kyni, ríkisfangi og ársfjórðungum
"2009Á4";" Djúpavogshreppur";"Alls";440
"2009Á4";" Djúpavogshreppur";"Karlar";240
"2009Á4";" Djúpavogshreppur";"Konur";200
"2009Á4";" Djúpavogshreppur";"Ísl. ríkisborgarar";400
"2009Á4";" Djúpavogshreppur";"Erl. ríkisborgarar";45
"2009Á4";" Fljótsdalshérað";"Alls";3460
"2009Á4";" Fljótsdalshérað";"Karlar";1790
"2009Á4";" Fljótsdalshérað";"Konur";1670
"2009Á4";" Fljótsdalshérað";"Ísl. ríkisborgarar";3260
"2009Á4";" Fljótsdalshérað";"Erl. ríkisborgarar";210
"2009Á4";" Sveitarfélagið Hornafjörður";"Alls";2090
"2009Á4";" Sveitarfélagið Hornafjörður";"Karlar";1100
"2009Á4";" Sveitarfélagið Hornafjörður";"Konur";990
"2009Á4";" Sveitarfélagið Hornafjörður";"Ísl. ríkisborgarar";1980
"2009Á4";" Sveitarfélagið Hornafjörður";"Erl. ríkisborgarar";110
"2009Á4";" Vestmannaeyjabær";"Alls";4140
"2009Á4";" Vestmannaeyjabær";"Karlar";2180
"2009Á4";" Vestmannaeyjabær";"Konur";1960
"2009Á4";" Vestmannaeyjabær";"Ísl. ríkisborgarar";4000
"2009Á4";" Vestmannaeyjabær";"Erl. ríkisborgarar";140
"2009Á4";" Sveitarfélagið Árborg";"Alls";7800
"2009Á4";" Sveitarfélagið Árborg";"Karlar";3980
"2009Á4";" Sveitarfélagið Árborg";"Konur";3820
"2009Á4";" Sveitarfélagið Árborg";"Ísl. ríkisborgarar";7420
"2009Á4";" Sveitarfélagið Árborg";"Erl. ríkisborgarar";380
"2009Á4";" Mýrdalshreppur";"Alls";510
"2009Á4";" Mýrdalshreppur";"Karlar";270
"2009Á4";" Mýrdalshreppur";"Konur";240
"2009Á4";" Mýrdalshreppur";"Ísl. ríkisborgarar";480
"2009Á4";" Mýrdalshreppur";"Erl. ríkisborgarar";30
"2009Á4";" Skaftárhreppur";"Alls";450
"2009Á4";" Skaftárhreppur";"Karlar";240
"2009Á4";" Skaftárhreppur";"Konur";200
"2009Á4";" Skaftárhreppur";"Ísl. ríkisborgarar";430
"2009Á4";" Skaftárhreppur";"Erl. ríkisborgarar";10
"2009Á4";" Ásahreppur";"Alls";190
"2009Á4";" Ásahreppur";"Karlar";90
"2009Á4";" Ásahreppur";"Konur";100
"2009Á4";" Ásahreppur";"Ísl. ríkisborgarar";180
"2009Á4";" Ásahreppur";"Erl. ríkisborgarar";15
"2009Á4";" Rangárþing eystra";"Alls";1740
"2009Á4";" Rangárþing eystra";"Karlar";900
"2009Á4";" Rangárþing eystra";"Konur";850
"2009Á4";" Rangárþing eystra";"Ísl. ríkisborgarar";1560
"2009Á4";" Rangárþing eystra";"Erl. ríkisborgarar";180
"2009Á4";" Rangárþing ytra";"Alls";1540
"2009Á4";" Rangárþing ytra";"Karlar";780
"2009Á4";" Rangárþing ytra";"Konur";760
"2009Á4";" Rangárþing ytra";"Ísl. ríkisborgarar";1420
"2009Á4";" Rangárþing ytra";"Erl. ríkisborgarar";120
"2009Á4";" Hrunamannahreppur";"Alls";790
"2009Á4";" Hrunamannahreppur";"Karlar";410
"2009Á4";" Hrunamannahreppur";"Konur";380
"2009Á4";" Hrunamannahreppur";"Ísl. ríkisborgarar";690
"2009Á4";" Hrunamannahreppur";"Erl. ríkisborgarar";100
"2009Á4";" Hveragerðisbær";"Alls";2290
"2009Á4";" Hveragerðisbær";"Karlar";1170
"2009Á4";" Hveragerðisbær";"Konur";1120
"2009Á4";" Hveragerðisbær";"Ísl. ríkisborgarar";2200
"2009Á4";" Hveragerðisbær";"Erl. ríkisborgarar";90
"2009Á4";" Sveitarfélagið Ölfus";"Alls";1950
"2009Á4";" Sveitarfélagið Ölfus";"Karlar";1030
"2009Á4";" Sveitarfélagið Ölfus";"Konur";930
"2009Á4";" Sveitarfélagið Ölfus";"Ísl. ríkisborgarar";1670
"2009Á4";" Sveitarfélagið Ölfus";"Erl. ríkisborgarar";280
"2009Á4";" Grímsnes- og Grafningshreppur";"Alls";420
"2009Á4";" Grímsnes- og Grafningshreppur";"Karlar";230
"2009Á4";" Grímsnes- og Grafningshreppur";"Konur";180
"2009Á4";" Grímsnes- og Grafningshreppur";"Ísl. ríkisborgarar";380
"2009Á4";" Grímsnes- og Grafningshreppur";"Erl. ríkisborgarar";35
"2009Á4";" Skeiða- og Gnúpverjahreppur";"Alls";520
"2009Á4";" Skeiða- og Gnúpverjahreppur";"Karlar";270
"2009Á4";" Skeiða- og Gnúpverjahreppur";"Konur";250
"2009Á4";" Skeiða- og Gnúpverjahreppur";"Ísl. ríkisborgarar";480
"2009Á4";" Skeiða- og Gnúpverjahreppur";"Erl. ríkisborgarar";35
"2009Á4";" Bláskógabyggð";"Alls";940
"2009Á4";" Bláskógabyggð";"Karlar";470
"2009Á4";" Bláskógabyggð";"Konur";470
"2009Á4";" Bláskógabyggð";"Ísl. ríkisborgarar";850
"2009Á4";" Bláskógabyggð";"Erl. ríkisborgarar";80
"2009Á4";" Flóahreppur";"Alls";600
"2009Á4";" Flóahreppur";"Karlar";320
"2009Á4";" Flóahreppur";"Konur";290
"2009Á4";" Flóahreppur";"Ísl. ríkisborgarar";570
"2009Á4";" Flóahreppur";"Erl. ríkisborgarar";30
"2010Á1";"Alls";"Alls";317910
"2010Á1";"Alls";"Karlar";159900
"2010Á1";"Alls";"Konur";158000
"2010Á1";"Alls";"Ísl. ríkisborgarar";296300
"2010Á1";"Alls";"Erl. ríkisborgarar";21610
"2010Á1";"Höfuðborgarsvæðið";"Alls";201230
"2010Á1";"Höfuðborgarsvæðið";"Karlar";100010
"2010Á1";"Höfuðborgarsvæðið";"Konur";101220
"2010Á1";"Höfuðborgarsvæðið";"Ísl. ríkisborgarar";187250
"2010Á1";"Höfuðborgarsvæðið";"Erl. ríkisborgarar";13980
"2010Á1";" Reykjavíkurborg";"Alls";118590
"2010Á1";" Reykjavíkurborg";"Karlar";58740
"2010Á1";" Reykjavíkurborg";"Konur";59850
"2010Á1";" Reykjavíkurborg";"Ísl. ríkisborgarar";109010
"2010Á1";" Reykjavíkurborg";"Erl. ríkisborgarar";9580
"2010Á1";" Kópavogsbær";"Alls";30410
"2010Á1";" Kópavogsbær";"Karlar";15080
"2010Á1";" Kópavogsbær";"Konur";15330
"2010Á1";" Kópavogsbær";"Ísl. ríkisborgarar";28630
"2010Á1";" Kópavogsbær";"Erl. ríkisborgarar";1780
"2010Á1";" Seltjarnarnesbær";"Alls";4370
"2010Á1";" Seltjarnarnesbær";"Karlar";2170
"2010Á1";" Seltjarnarnesbær";"Konur";2200
"2010Á1";" Seltjarnarnesbær";"Ísl. ríkisborgarar";4180
"2010Á1";" Seltjarnarnesbær";"Erl. ríkisborgarar";190
"2010Á1";" Garðabær";"Alls";10690
"2010Á1";" Garðabær";"Karlar";5240
"2010Á1";" Garðabær";"Konur";5450
"2010Á1";" Garðabær";"Ísl. ríkisborgarar";10340
"2010Á1";" Garðabær";"Erl. ríkisborgarar";360
"2010Á1";" Hafnarfjarðarkaupstaður";"Alls";25900
"2010Á1";" Hafnarfjarðarkaupstaður";"Karlar";12970
"2010Á1";" Hafnarfjarðarkaupstaður";"Konur";12920
"2010Á1";" Hafnarfjarðarkaupstaður";"Ísl. ríkisborgarar";24270
"2010Á1";" Hafnarfjarðarkaupstaður";"Erl. ríkisborgarar";1620
"2010Á1";" Sveitarfélagið Álftanes";"Alls";2510
"2010Á1";" Sveitarfélagið Álftanes";"Karlar";1280
"2010Á1";" Sveitarfélagið Álftanes";"Konur";1230
"2010Á1";" Sveitarfélagið Álftanes";"Ísl. ríkisborgarar";2450
"2010Á1";" Sveitarfélagið Álftanes";"Erl. ríkisborgarar";60
